revision, author, date, time, day_of_week, number_of_lines, change type, comment 
r1551925,Thomas,2015-11-27,16:57:44,Fri,1,ARenamed folder to the correct name
r1551575,Thomas,2015-11-27,09:46:32,Fri,1,MRemoved unused webview.plan.management and webview_plan_management properties
r1551569,Vincent,2015-11-27,09:38:09,Fri,1,Menable all clients
r1551558,Thomas,2015-11-27,09:13:26,Fri,1,MChnaged jira url to htps
r1551504,/OU=Domain Control Validated/CN=svn.company.net,2015-11-27,07:05:41,Fri,1,M[gradle-release] prepare for next development iteration
r1551486,Vincent,2015-11-27,06:10:10,Fri,1,MSFR-108 : preparing release for SFR
r1551485,Vincent,2015-11-27,06:06:30,Fri,1,MSFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.
r1551375,Vincent,2015-11-26,15:01:51,Thu,1,MSFR-108 : androidM related strings added.
r1551347,Vincent,2015-11-26,14:35:32,Thu,1,DSFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer
r1551334,Vincent,2015-11-26,14:20:12,Thu,1,MSFR-108 : using WL base & snc urls
r1551332,Vincent,2015-11-26,14:17:48,Thu,4,MSFR-108 : Create bilingual French/English translated Android application for SFR-----------contact-sync enabled correctly.
r1551313,Vincent,2015-11-26,13:58:15,Thu,4,MSFR-108 : Create bilingual French/English translated Android application for SFR-----------contact-sync disabled. It was not a correct way.
r1551307,Thomas,2015-11-26,13:48:29,Thu,1,DRemoved AMX specific layouts.
r1551294,Vincent,2015-11-26,13:30:16,Thu,4,MSFR-108 : Help Foother can be configured by enable_help_footer.for SFR it is disabled.
r1551249,Vincent,2015-11-26,12:16:06,Thu,5,MSFR-108 : Create bilingual French/English translated Android application for SFR-----------contact-sync enabled.
r1551248,Vincent,2015-11-26,12:15:26,Thu,5,MSFR-108 : Create bilingual French/English translated Android application for SFR-----------reverted --> actionbar color & background
r1551105,Thomas,2015-11-26,09:17:08,Thu,1,MFTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.
r1551061,Vincent,2015-11-26,07:33:33,Thu,3,MSFR-108 : Create bilingual French/English translated Android application for SFR-----------actionbar color & background
r1550863,Thomas,2015-11-25,16:42:06,Wed,1,MChanged cloudsdkVersion to '1.0.22.10'
r1550724,Thomas,2015-11-25,14:17:42,Wed,1,MChanged jira url to https
r1550591,Thomas,2015-11-25,11:29:15,Wed,3,MReverted back:FTRPC-500: Frontier Android || Inconsistencey in My Activity screenClient used systemAttribute name="Creation-Date" instead of versionCreated as version created.
r1550580,Thomas,2015-11-25,11:15:27,Wed,1,MUpdated splashscreen to re use grphc_pcloud_logo image instead of splash_logo
r1550503,Thomas,2015-11-25,09:26:22,Wed,1,AChanged splash screen as requested
r1550097,Vincent,2015-11-24,14:41:53,Tue,3,MSFR-108 : Create bilingual French/English translated Android application for SFR-----------three dots. "..."
r1550089,Thomas,2015-11-24,14:28:19,Tue,2,MFTRPC-500: Frontier Android || Inconsistencey in My Activity screenClient used systemAttribute name="Creation-Date" instead of versionCreated as version created.
r1550060,Vincent,2015-11-24,13:58:25,Tue,4,MSFR-108 : Create bilingual French/English translated Android application for SFR-----------1) strings-array fixed2) "AMX Cloud" replaced by "SFR Cloud"
r1550046,Vincent,2015-11-24,13:42:26,Tue,4,ASFR-108 : Create bilingual French/English translated Android application for SFR-----------1) added text & assets from ux branch2) fixed compilation errors.
r1549398,Thomas,2015-11-23,16:32:45,Mon,1,MUpdated jira port number to 8443
r1549355,/OU=Domain Control Validated/CN=svn.company.net,2015-11-23,15:34:21,Mon,1,M[gradle-release] prepare for next development iteration
r1549331,Thomas,2015-11-23,15:20:49,Mon,1,MFTRPC-497: Frontier Android || Difference in the branding icon in push notifications
r1549294,Jimmy,2015-11-23,15:02:18,Mon,2,MNew contacts nab versionHomescreen update
r1549111,Thomas,2015-11-23,11:46:06,Mon,1,MFix crash on the boot complete
r1548946,Vincent,2015-11-23,05:50:12,Mon,5,MFTRPC-304 : Frontier - Default Backups Settings to be ON---------------instant upload was enabled for all data classes by vivek.Instant upload only for Contacts and Photos will be ON.
r1548632,Thomas,2015-11-20,16:36:17,Fri,1,AFTRPC-309: Frontier - Report Abuse is ON
r1548595,Thomas,2015-11-20,15:43:36,Fri,1,MPut dontwarn for android.provider.** to fix snapshot build
r1548398,Thomas,2015-11-20,13:06:04,Fri,1,MEnabled com.android.support:support-v4-internal_impl
r1548384,Thomas,2015-11-20,12:57:08,Fri,1,MFTRPC-381: Add Android M Support to Handset Client
r1548364,Thomas,2015-11-20,12:42:14,Fri,2,AFTRPC-381: Add Android M Support to Handset ClientCopying resouces from att-m branch
r1548358,Thomas,2015-11-20,12:40:31,Fri,2,AFTRPC-381: Add Android M Support to Handset ClientCopying resources from att-m branch
r1548357,Thomas,2015-11-20,12:39:03,Fri,2,AFTRPC-381: Add Android M Support to Handset ClientCopying resources from att-m branch
r1548355,Thomas,2015-11-20,12:37:26,Fri,2,AFTRPC-381: Add Android M Support to Handset ClientCopying resources from att-m
